iteration,accuracy,loss,lr,progress,timestamp
0.0,0.09319999814033508,0.0002432762964433227,0.01,0.0,
100.0,0.38089999556541443,0.00024438096416156606,0.01,0.005,
200.0,0.39819997549057007,0.0002975047346012407,0.01,0.01,
300.0,0.5590999722480774,0.00018325061806249114,0.01,0.015,
400.0,0.6556999683380127,0.0001248176087623224,0.01,0.02,
500.0,0.7251999974250793,0.00010721380817569738,0.01,0.025,
600.0,0.7684999704360962,8.798791766716919e-05,0.01,0.03,
700.0,0.7358999848365784,9.207887392334651e-05,0.01,0.035,
800.0,0.7181999683380127,9.557985029722139e-05,0.01,0.04,
900.0,0.7645999789237976,8.523421196025411e-05,0.01,0.045,
1000.0,0.7907999753952026,7.940584239682271e-05,0.01,0.05,
1100.0,0.7838000059127808,8.149137041252887e-05,0.01,0.055,
1200.0,0.7876999974250793,8.174724845099092e-05,0.01,0.06,
1300.0,0.8035999536514282,7.62899367552238e-05,0.01,0.065,
1400.0,0.776199996471405,8.211164884006761e-05,0.01,0.07,
1500.0,0.7427999973297119,8.966874909734944e-05,0.01,0.075,
1600.0,0.7786999940872192,7.95359010618151e-05,0.01,0.08,
1700.0,0.801099956035614,7.450483794432774e-05,0.01,0.085,
1800.0,0.7954999804496765,7.621508729970101e-05,0.01,0.09,
1900.0,0.7792999744415283,7.878509349522718e-05,0.01,0.095,
2000.0,0.8024999499320984,7.0819455783989e-05,0.01,0.1,
2100.0,0.7879999876022339,7.70819078191417e-05,0.01,0.105,
2200.0,0.7817999720573425,7.967703198336182e-05,0.01,0.11,
2300.0,0.7962999939918518,7.278780127441466e-05,0.01,0.115,
2400.0,0.7978000044822693,7.113826676617664e-05,0.01,0.12,
2500.0,0.7825999855995178,7.823164995721509e-05,0.01,0.125,
2600.0,0.7967000007629395,7.463395369076677e-05,0.01,0.13,
2700.0,0.7989999651908875,7.242644812413326e-05,0.01,0.135,
2800.0,0.7870999574661255,7.516056354511235e-05,0.01,0.14,
2900.0,0.7942999601364136,7.511715775152553e-05,0.01,0.145,
3000.0,0.8080999851226807,6.918364641358056e-05,0.01,0.15,
3100.0,0.7835999727249146,7.632690477505525e-05,0.01,0.155,
3200.0,0.7771999835968018,8.006374607842905e-05,0.01,0.16,
3300.0,0.8050999641418457,7.065501217811406e-05,0.01,0.165,
3400.0,0.7971000075340271,7.343163432533203e-05,0.01,0.17,
3500.0,0.7996999621391296,7.458420466427192e-05,0.01,0.175,
3600.0,0.7854999899864197,7.643716965373767e-05,0.01,0.18,
3700.0,0.8078999519348145,6.790930164341797e-05,0.01,0.185,
3800.0,0.7827999591827393,7.631395182058066e-05,0.01,0.19,
3900.0,0.800599992275238,7.285840471890516e-05,0.01,0.195,
4000.0,0.8075000047683716,6.726722333897866e-05,0.01,0.2,
4100.0,0.7813000082969666,7.584134756888846e-05,0.01,0.205,
4200.0,0.8078999519348145,6.990299211873131e-05,0.01,0.21,
4300.0,0.7920999526977539,7.043486184516337e-05,0.01,0.215,
4400.0,0.7996999621391296,7.306544037807121e-05,0.01,0.22,
4500.0,0.808899998664856,6.633762817649686e-05,0.01,0.225,
4600.0,0.7815999984741211,7.475959821399881e-05,0.01,0.23,
4700.0,0.8044999837875366,7.178499400132673e-05,0.01,0.235,
4800.0,0.8011999726295471,7.242276639668764e-05,0.01,0.24,
4900.0,0.7835999727249146,7.566156771186513e-05,0.01,0.245,
5000.0,0.8047999739646912,6.991249651006085e-05,0.01,0.25,
5100.0,0.799299955368042,7.424513726287634e-05,0.01,0.255,
5200.0,0.786300003528595,7.610643493285748e-05,0.01,0.26,
5300.0,0.8097999691963196,6.89780464702583e-05,0.01,0.265,
5400.0,0.793999969959259,7.297170009362527e-05,0.01,0.27,
5500.0,0.7877999544143677,7.665353840897123e-05,0.01,0.275,
5600.0,0.8075999617576599,6.836355615514214e-05,0.01,0.28,
5700.0,0.7964999675750732,7.257562294637938e-05,0.01,0.285,
5800.0,0.7919999957084656,7.473591813250189e-05,0.01,0.29,
5900.0,0.8060999512672424,6.830746454905574e-05,0.01,0.295,
6000.0,0.7889999747276306,7.492144019370188e-05,0.01,0.3,
6100.0,0.8001999855041504,7.309825028877481e-05,0.01,0.305,
6200.0,0.8054999709129333,6.923868615596945e-05,0.01,0.31,
6300.0,0.7858999967575073,7.522925571889407e-05,0.01,0.315,
6400.0,0.8123999834060669,6.74921754001965e-05,0.01,0.32,
6500.0,0.7904999852180481,7.384569350331355e-05,0.01,0.325,
6600.0,0.7895999550819397,7.378004341580471e-05,0.01,0.33,
6700.0,0.809499979019165,6.815102514663111e-05,0.01,0.335,
6800.0,0.7879999876022339,7.468845525592095e-05,0.01,0.34,
6900.0,0.7944999933242798,7.386104939894407e-05,0.01,0.345,
7000.0,0.8107999563217163,6.698506199207008e-05,0.01,0.35,
7100.0,0.7894999980926514,7.473645349931457e-05,0.01,0.355,
7200.0,0.7975999712944031,7.312480580456331e-05,0.01,0.36,
7300.0,0.8118000030517578,6.735703630247737e-05,0.01,0.365,
7400.0,0.7839999794960022,7.639762184468917e-05,0.01,0.37,
7500.0,0.8051999807357788,7.102129421787188e-05,0.01,0.375,
7600.0,0.8003000020980835,7.101855012046145e-05,0.01,0.38,
7700.0,0.7886999845504761,7.561702458273405e-05,0.01,0.385,
7800.0,0.8029999732971191,7.036704427762653e-05,0.01,0.39,
7900.0,0.7997999787330627,7.122290212195688e-05,0.01,0.395,
8000.0,0.7932999730110168,7.461476662693462e-05,0.01,0.4,
8100.0,0.8083999752998352,6.853860117138539e-05,0.01,0.405,
8200.0,0.7978999614715576,7.137520871812938e-05,0.01,0.41,
8300.0,0.7929999828338623,7.431517815132984e-05,0.01,0.415,
8400.0,0.8107999563217163,6.667122137419689e-05,0.01,0.42,
8500.0,0.7912999987602234,7.375044962635193e-05,0.01,0.425,
8600.0,0.7960999608039856,7.426482646826003e-05,0.01,0.43,
8700.0,0.8077999949455261,6.814169281405032e-05,0.01,0.435,
8800.0,0.7930999994277954,7.45896610934237e-05,0.01,0.44,
8900.0,0.809499979019165,6.861100824322014e-05,0.01,0.445,
9000.0,0.7986999750137329,6.964990460703527e-05,0.01,0.45,
9100.0,0.7897999882698059,7.455829042327369e-05,0.01,0.455,
9200.0,0.8119999766349792,6.843147846800679e-05,0.01,0.46,
9300.0,0.7935000061988831,7.368475470053958e-05,0.01,0.465,
9400.0,0.8073999881744385,6.950434274750383e-05,0.01,0.47,
9500.0,0.8044999837875366,6.890169490377112e-05,0.01,0.475,
9600.0,0.7922999858856201,7.408547150047597e-05,0.01,0.48,
9700.0,0.8080999851226807,6.990911062155186e-05,0.01,0.485,
9800.0,0.8037999868392944,6.833849283691361e-05,0.01,0.49,
9900.0,0.7858999967575073,7.549611346403787e-05,0.01,0.495,
10000.0,0.8116999864578247,6.874279432373709e-05,0.01,0.5,
10100.0,0.8026999831199646,6.91469117168001e-05,0.01,0.505,
10200.0,0.7913999557495117,7.393229027931648e-05,0.01,0.51,
10300.0,0.8122999668121338,6.878272161525191e-05,0.01,0.515,
10400.0,0.790399968624115,7.396119947418429e-05,0.01,0.52,
10500.0,0.800599992275238,7.257494331343569e-05,0.01,0.525,
10600.0,0.8098999857902527,6.723016866210404e-05,0.01,0.53,
10700.0,0.7874000072479248,7.474710614567113e-05,0.01,0.535,
10800.0,0.8109999895095825,6.843689797653918e-05,0.01,0.54,
10900.0,0.8000999689102173,7.256523069077945e-05,0.01,0.545,
11000.0,0.7874000072479248,7.487769123719996e-05,0.01,0.55,
11100.0,0.8104000091552734,6.806791677915538e-05,0.01,0.555,
11200.0,0.8017999529838562,7.19194812707889e-05,0.01,0.56,
11300.0,0.7906000018119812,7.374696454374766e-05,0.01,0.565,
11400.0,0.8108999729156494,6.563889812508718e-05,0.01,0.57,
11500.0,0.7942999601364136,7.327993264566645e-05,0.01,0.575,
11600.0,0.7978000044822693,7.218210125040232e-05,0.01,0.58,
11700.0,0.8075999617576599,6.665491538991253e-05,0.01,0.585,
11800.0,0.7950999736785889,7.308949327230639e-05,0.01,0.59,
11900.0,0.8091999888420105,6.697463297702682e-05,0.01,0.595,
12000.0,0.790399968624115,7.152173930398094e-05,0.01,0.6,
12100.0,0.8033999800682068,7.084155215010833e-05,0.01,0.605,
12200.0,0.8098999857902527,6.78602122143352e-05,0.01,0.61,
12300.0,0.78329998254776,7.594408717911851e-05,0.01,0.615,
12400.0,0.8095999956130981,6.971951616722607e-05,0.01,0.62,
12500.0,0.8082000017166138,7.128311396195135e-05,0.01,0.625,
12600.0,0.78329998254776,7.456290619234236e-05,0.01,0.63,
12700.0,0.8072999715805054,6.999596606481724e-05,0.01,0.635,
12800.0,0.8105999827384949,7.169045934026454e-05,0.01,0.64,
12900.0,0.7901999950408936,7.099407173455384e-05,0.01,0.645,
13000.0,0.8093000054359436,6.82537863751867e-05,0.01,0.65,
13100.0,0.8070999979972839,7.096707832109864e-05,0.01,0.655,
13200.0,0.7967999577522278,6.934646698642962e-05,0.01,0.66,
13300.0,0.8082999587059021,6.939947753200719e-05,0.01,0.665,
13400.0,0.7838999629020691,7.643528994345634e-05,0.01,0.67,
13500.0,0.8082999587059021,6.962171652893229e-05,0.01,0.675,
13600.0,0.8018999695777893,7.248898217332095e-05,0.01,0.68,
13700.0,0.7875999808311462,7.497551949674065e-05,0.01,0.685,
13800.0,0.8080999851226807,6.804641566115574e-05,0.01,0.69,
13900.0,0.8003000020980835,7.248175436490253e-05,0.01,0.695,
14000.0,0.795799970626831,7.2562611268752e-05,0.01,0.7,
14100.0,0.8093000054359436,6.66241773292163e-05,0.01,0.705,
14200.0,0.7986999750137329,7.329321203356539e-05,0.01,0.71,
14300.0,0.7947999835014343,7.357740501557426e-05,0.01,0.715,
14400.0,0.8121999502182007,6.672341679744923e-05,0.01,0.72,
14500.0,0.7997999787330627,7.20978655738593e-05,0.01,0.725,
14600.0,0.8039999604225159,7.142106422631661e-05,0.01,0.73,
14700.0,0.8065999746322632,6.843303452579203e-05,0.01,0.735,
14800.0,0.7928000092506409,7.419461815148023e-05,0.01,0.74,
14900.0,0.8119999766349792,6.797265277416252e-05,0.01,0.745,
15000.0,0.7915999889373779,7.136288231880364e-05,0.01,0.75,
15100.0,0.8050999641418457,7.10552304051195e-05,0.01,0.755,
15200.0,0.8071999549865723,6.718332426509783e-05,0.01,0.76,
15300.0,0.7954999804496765,7.243170250324316e-05,0.01,0.765,
15400.0,0.8125999569892883,6.903957372231453e-05,0.01,0.77,
15500.0,0.7928000092506409,7.295090651639171e-05,0.01,0.775,
15600.0,0.795699954032898,7.335715084174155e-05,0.01,0.78,
15700.0,0.8107999563217163,6.768109033521006e-05,0.01,0.785,
15800.0,0.793999969959259,7.346731621534631e-05,0.01,0.79,
15900.0,0.8033999800682068,7.055609566447067e-05,0.01,0.795,
16000.0,0.7985000014305115,6.939428555659731e-05,0.01,0.8,
16100.0,0.7940999865531921,7.370452296201539e-05,0.01,0.805,
16200.0,0.8122999668121338,6.679486770811196e-05,0.01,0.81,
16300.0,0.7917999625205994,7.177468019530893e-05,0.01,0.815,
16400.0,0.8012999892234802,7.20788849840056e-05,0.01,0.82,
16500.0,0.8087999820709229,6.727232404983585e-05,0.01,0.825,
16600.0,0.7852999567985535,7.588251917171715e-05,0.01,0.83,
16700.0,0.8082000017166138,6.883413330753908e-05,0.01,0.835,
16800.0,0.8014999628067017,7.064171475083595e-05,0.01,0.84,
16900.0,0.7906999588012695,7.502619653743937e-05,0.01,0.845,
17000.0,0.8075000047683716,6.926298197307463e-05,0.01,0.85,
17100.0,0.7935000061988831,7.334597686464844e-05,0.01,0.855,
17200.0,0.7895999550819397,7.427174002606707e-05,0.01,0.86,
17300.0,0.8159999847412109,6.58800176137933e-05,0.01,0.865,
17400.0,0.7950999736785889,7.243987135502282e-05,0.01,0.87,
17500.0,0.7989000082015991,7.212775212995633e-05,0.01,0.875,
17600.0,0.8080999851226807,6.668161416805542e-05,0.01,0.88,
17700.0,0.7922999858856201,7.381294420681079e-05,0.01,0.885,
17800.0,0.8113999962806702,6.629250272795786e-05,0.01,0.89,
17900.0,0.7947999835014343,7.13914247275363e-05,0.01,0.895,
18000.0,0.805899977684021,7.092122831230769e-05,0.01,0.9,
18100.0,0.8053999543190002,6.809241015335475e-05,0.01,0.905,
18200.0,0.785099983215332,7.497233273706267e-05,0.01,0.91,
18300.0,0.8098999857902527,6.90571089013123e-05,0.01,0.915,
18400.0,0.7996999621391296,7.146387415149212e-05,0.01,0.92,
18500.0,0.7929999828338623,7.394721260398447e-05,0.01,0.925,
18600.0,0.8095999956130981,6.78984282992706e-05,0.01,0.93,
18700.0,0.7877999544143677,7.439703317437237e-05,0.01,0.935,
18800.0,0.8064000010490417,6.999377736332506e-05,0.01,0.94,
18900.0,0.8065999746322632,6.76853184921173e-05,0.01,0.945,
19000.0,0.7809999585151672,7.478065867097491e-05,0.01,0.95,
19100.0,0.8125999569892883,6.815402778176124e-05,0.01,0.955,
19200.0,0.8073999881744385,7.162424423777655e-05,0.01,0.96,
19300.0,0.7859999537467957,7.44574763149542e-05,0.01,0.965,
19400.0,0.809499979019165,6.649195314387193e-05,0.01,0.97,
19500.0,0.8086000084877014,7.139807787641709e-05,0.01,0.975,
19600.0,0.7881999611854553,7.445237665302039e-05,0.01,0.98,
19700.0,0.805899977684021,6.905264279256962e-05,0.01,0.985,
19800.0,0.802899956703186,7.261944555530179e-05,0.01,0.99,
19900.0,0.7971999645233154,7.156691890653662e-05,0.01,0.995,
20000.0,0.8101999759674072,6.785822879728284e-05,0.01,1.0,
